Kategori,Value,Navn,URL,Ikon
Kunstig Intelligens,chatgpt,ChatGPT,https://chatgpt.com,icons/chatgpt.svg
Kunstig Intelligens,microsoftcopilot,Microsoft Copilot,https://copilot.microsoft.com/,icons/microsoftcopilot.svg
Kunstig Intelligens,perplexity,Perplexity,https://www.perplexity.ai/search,icons/perplexity.svg
Kunstig Intelligens,googlegemini,Google Gemini,https://gemini.google.com/,icons/googlegemini.svg
Kunstig Intelligens,gitcopilot,GitHub Copilot,https://github.com/features/copilot,icons/gitcopilot.svg
Kunstig Intelligens,huggingface,Hugging Face Chat,https://huggingface.co/chat,icons/huggingface.svg
Kunstig Intelligens,pi,Pi,https://pi.ai,icons/pi.svg
Kunstig Intelligens,betacharacter,Beta Character,https://beta.character.ai,icons/betacharacter.svg
Kunstig Intelligens,janitorai,JanitorAI,https://janitorai.com,icons/janitorai.svg
Kunstig Intelligens,chai,Chai,https://chai.ml,icons/chai.svg
Kunstig Intelligens,playaidungeon,Play Aidungeon,https://play.aidungeon.io,icons/playaidungeon.svg
Kunstig Intelligens,replika,Replika,https://replika.com,icons/replika.svg
Kunstig Intelligens,kajiwoto,Kajiwoto,https://kajiwoto.com,icons/kajiwoto.svg
